Station,Latitude.d,Longitude.d,Latitude,Longitude
Barisal,23° 43',90° 22',23.716667,90.366667
Bhola,22° 41',90° 39',22.683333,90.65
Bogra,24° 51',89° 22',24.85,89.366667
Chandpur,23° 14',90° 42',23.233333,90.7
Chittagong (City),22° 21',91° 49',22.35,91.816667
Chittagong (AP),22° 13',91° 48',22.216667,91.8
Chuadanga,23° 39',88° 49',23.65,88.816667
Comilla,23° 26',91° 11',23.433333,91.183333
Cox's Bazar,21° 27',91° 58',21.45,91.966667
Dhaka,23° 47',90° 23',23.783333,90.383333
Dinajpur,25° 39',88° 41',23.65,88.683333
Faridpur,23° 36',89° 51',23.6,89.85
Feni,23° 02',91° 25',23.033333,91.416667
Hatiya,22° 27',91° 60',22.45,92
Ishurdi,24° 09',89° 20',24.15,89.333333
Jessore,23° 12',89° 20',23.2,89.33333
Khepupara,21° 59',90° 14',21.983333,90.233333
Khulna,22° 47',89° 32',22.783333,89.533333
Kutubdia,21° 49',91° 51',21.816667,91.85
Madaripur,23° 10',90° 11',23.166667,90.183333
Maijdee Court,22° 52',91° 60',22.866667,92
Mongla,22° 28',89° 36',22.466667,89.6
Mymensingh,24° 44',90° 25',24.733333,90.416667
Patuakhali,22° 20',90° 20',22.333333,90.333333
Rajshahi,24° 22',88° 42',24.366667,88.7
Rangpur,25° 44',89° 16',25.733333,89.266667
Rangamati,22° 38',92° 09',22.633333,92.15
Sandwip,22° 29',91° 26',22.483333,91.433333
Satkhira,22° 43',89° 05',22.716667,89.083333
Sitakunda,22° 38',91° 42',22.633333,91.7
Srimangal,24° 18',91° 44',24.3,91.733333
Syedpur,25° 45',88° 55',25.75,88.916667
Sylhet,24° 54',91° 53',24.9,91.883333
Tangail,24° 15',89° 56',24.25,89.933333
Teknaf,20° 52',92° 18',20.866667,92.3
